SOC,OCV
0.15174506828527967, 2.8762214983713354
0.30349013657055934, 2.9006514657980453
0.9104704097116834, 2.969055374592834
1.5174506828528074, 3.037459283387622
2.1244309559939296, 3.096091205211726
3.034901365705613, 3.1644951140065145
3.945371775417298, 3.228013029315961
5.007587253414263, 3.291530944625407
6.000000000000002, 3.3368762614655982
7.000000000000002, 3.374060770168462
8.000000000000002, 3.4091794728322773
9.000000000000002, 3.440166563417997
10.000000000000002, 3.462890429847525
11.000000000000002, 3.477351072120861
12.000000000000002, 3.4918117143941965
13.000000000000002, 3.5000749385503886
14.000000000000002, 3.5083381627065804
15.000000000000002, 3.5124697747846767
16, 3.5166013868627726
17, 3.5207329989408684
18, 3.5248646110189643
19, 3.52899622309706
20, 3.5331278351751565
21, 3.5372594472532524
22, 3.543456865370396
23, 3.547588477448492
24, 3.5537858955656363
25, 3.562049119721828
26, 3.566180731799924
26.999999999999993, 3.572378149917068
28, 3.578575568034212
28.999999999999993, 3.5868387921904037
30, 3.593036210307548
30.999999999999993, 3.5992336284246917
32, 3.6033652405027876
32.99999999999999, 3.6116284646589794
34, 3.6198916888151715
34.99999999999999, 3.6240233008932674
36, 3.6281549129713633
36.99999999999999, 3.6364181371275555
38, 3.6405497492056513
38.99999999999999, 3.644681361283747
40, 3.648812973361843
40.99999999999999, 3.6529445854399394
42, 3.6570761975180353
42.99999999999999, 3.659142003557083
44, 3.661207809596131
44.99999999999999, 3.667405227713275
46, 3.667405227713275
46.99999999999999, 3.6694710337523233
47.99999999999999, 3.6715368397913712
49, 3.675668451869467
49.99999999999999, 3.679800063947563
51, 3.683931676025659
51.99999999999999, 3.6880632881037547
53, 3.696326512259947
54, 3.7004581243380428
55, 3.7045897364161386
56, 3.710787154533283
56.999999999999986, 3.7190503786894746
58, 3.7231819907675705
59, 3.7293794088847143
60, 3.7355768270018586
60.999999999999986, 3.7438400511580503
62, 3.7521032753142425
63, 3.760366499470434
64, 3.770695529665674
64.99999999999999, 3.778958753821866
66, 3.787221977978058
67, 3.797551008173298
68, 3.8058142323294897
68.99999999999999, 3.81614326252473
69.99999999999999, 3.8244064866809215
71, 3.8347355168761617
72, 3.8429987410323534
72.99999999999999, 3.8533277712275935
73.99999999999999, 3.8615909953837853
75, 3.8719200255790254
76, 3.880183249735217
76.99999999999999, 3.888446473891409
77.99999999999999, 3.896709698047601
79, 3.9049729222037928
80, 3.917367758438081
81, 3.9256309825942726
81.99999999999999, 3.9359600127895127
83, 3.9462890429847524
84, 3.9545522671409445
85, 3.964881297336184
85.99999999999999, 3.9752103275314243
87, 3.987605163765712
88, 3.993802581882856
89, 3.997934193960952
89.37784522003034, 4.014657980456026
90.5918057663126, 4.029315960912052
91.95751138088012, 4.04885993485342
93.32321699544764, 4.068403908794788
94.53717754172989, 4.087947882736156
95.14415781487101, 4.102605863192182
96.35811836115325, 4.1172638436482085
97.72382397572078, 4.127035830618892
98.63429438543247, 4.136807817589577
99.39301972685887, 4.141693811074918
