SOC,R
9.999999999999998,7.9683123397667295
11,8.049610080210392
12,8.049610080210392
13,8.049610080210392
13.999999999999998,8.049610080210392
14.999999999999998,8.049610080210392
15.999999999999998,8.049610080210392
17,8.049610080210392
18,7.9683123397667295
19,7.9683123397667295
19.999999999999996,7.9683123397667295
20.999999999999996,7.9683123397667295
22,7.9683123397667295
22.999999999999996,7.9683123397667295
23.999999999999996,7.887014599323059
25,7.887014599323059
26,7.887014599323059
26.999999999999996,7.887014599323059
28,7.887014599323059
29,7.887014599323059
29.999999999999996,7.887014599323059
30.999999999999996,7.887014599323059
31.999999999999996,7.887014599323059
32.99999999999999,7.887014599323059
33.99999999999999,7.887014599323059
34.99999999999999,7.887014599323059
35.99999999999999,7.887014599323059
36.99999999999999,7.887014599323059
37.99999999999999,7.887014599323059
38.999999999999986,7.887014599323059
39.99999999999999,7.887014599323059
40.99999999999999,7.887014599323059
41.999999999999986,7.887014599323059
42.99999999999999,7.805716858879396
43.99999999999999,7.805716858879396
44.999999999999986,7.805716858879396
45.99999999999999,7.805716858879396
46.99999999999999,7.805716858879396
47.999999999999986,7.805716858879396
48.99999999999999,7.805716858879396
49.99999999999999,7.805716858879396
50.99999999999999,7.724419118435733
52,7.724419118435733
53,7.724419118435733
54,7.724419118435733
55,7.724419118435733
56,7.724419118435733
57,7.724419118435733
58,7.724419118435733
59,7.724419118435733
60,7.724419118435733
61,7.724419118435733
62,7.724419118435733
62.99999999999999,7.724419118435733
63.99999999999999,7.805716858879396
65,7.887014599323059
66,7.887014599323059
67,7.887014599323059
68,7.887014599323059
69,7.887014599323059
70,7.9683123397667295
71,7.9683123397667295
72,7.9683123397667295
72.99999999999999,7.887014599323059
73.99999999999999,7.887014599323059
75,7.887014599323059
76,7.887014599323059
77,7.887014599323059
78,7.887014599323059
78.99999999999999,7.887014599323059
79.99999999999999,7.887014599323059
81,7.887014599323059
82,7.887014599323059
83,7.887014599323059
84,7.887014599323059
84.99999999999999,7.887014599323059
85.99999999999999,7.887014599323059
87,7.887014599323059
88,7.887014599323059
89,7.887014599323059
90.00000000000001,7.805716858879396
