SOC,OCV
0, 2.6839092905508455
1, 2.7624489111206003
2, 2.9470170194595253
3, 3.0412645641432325
3.9999999999999964, 3.092315317513573
4.9999999999999964, 3.155147013969377
5.9999999999999964, 3.190489843225768
6.9999999999999964, 3.2219056914536695
7.9999999999999964, 3.2533215396815716
8.999999999999996, 3.276883425852498
9.999999999999996, 3.2925913499664494
11, 3.3240071981943515
12, 3.3436421033367907
12.999999999999993, 3.3593500274507413
13.999999999999993, 3.3789849325931804
15, 3.394692856707131
15.999999999999993, 3.4104007808210826
17, 3.426108704935033
17.999999999999993, 3.4339626669920094
19, 3.4457436100774723
19.999999999999993, 3.457524553162936
21, 3.4653785152199115
21.999999999999993, 3.4771594583053744
23, 3.4850134203623497
23.999999999999993, 3.492867382419326
25, 3.5085753065332765
25.999999999999993, 3.52035624961874
27, 3.5282102116757157
27.999999999999993, 3.5439181357896663
29, 3.5556990788751297
29.999999999999993, 3.559626059903618
30.999999999999993, 3.5714070029890808
31.999999999999993, 3.5792609650460565
32.99999999999999, 3.583187946074544
33.99999999999999, 3.59104190813152
34.99999999999999, 3.5949688891600076
35.99999999999999, 3.606749832245471
36.99999999999999, 3.6106768132739586
37.99999999999999, 3.6185307753309344
38.99999999999999, 3.6263847373879097
40, 3.6303117184163973
40.99999999999999, 3.638165680473373
42, 3.646019642530349
42.99999999999999, 3.653873604587324
43.99999999999999, 3.6617275666442994
44.99999999999998, 3.669581528701275
45.99999999999999, 3.6813624717867386
46.99999999999998, 3.6852894528152262
47.99999999999999, 3.6970703959006896
48.99999999999999, 3.704924357957665
49.99999999999998, 3.7167053010431284
50.99999999999998, 3.724559263100104
51.99999999999999, 3.7324132251570794
52.99999999999999, 3.744194168242543
53.99999999999998, 3.759902092356494
54.99999999999998, 3.7677560544134696
55.99999999999999, 3.7795369974989326
56.99999999999999, 3.7873909595559083
57.99999999999998, 3.795244921612884
58.99999999999998, 3.807025864698347
59.99999999999999, 3.8188068077838104
60.99999999999999, 3.822733788812298
61.99999999999998, 3.8345147318977615
62.99999999999998, 3.842368693954737
63.99999999999998, 3.8502226560117125
65, 3.8580766180686883
65.99999999999997, 3.8698575611541512
66.99999999999997, 3.8737845421826393
67.99999999999997, 3.8816385042396147
69, 3.8894924662965904
70, 3.8973464283535657
70.99999999999997, 3.909127371439029
71.99999999999997, 3.916981333496005
73, 3.928762276581468
74, 3.9366162386384436
74.99999999999997, 3.944470200695419
75.99999999999997, 3.9562511437808823
77, 3.9680320868663457
78, 3.9758860489233214
78.99999999999997, 3.9915939730372725
79.99999999999997, 4.0073018971512235
80.99999999999997, 4.015155859208199
82, 4.03086378332215
82.99999999999997, 4.038717745379126
83.99999999999997, 4.046571707436101
84.99999999999997, 4.058352650521565
86, 4.06620661257854
86.99999999999997, 4.074060574635515
87.99999999999997, 4.077987555664003
88.99999999999997, 4.085841517720978
90, 4.089768498749467
90.99999999999997, 4.097622460806442
91.99999999999997, 4.10154944183493
92.99999999999997, 4.109403403891905
94, 4.121184346977369
94.99999999999997, 4.125111328005857
95.99999999999997, 4.140819252119807
96.99999999999997, 4.152600195205271
98, 4.164381138290734
99, 4.176162081376198
99.99999999999997, 4.172235100347709
