SOC,R
1, 41.54720448470449
1.9999999999999964, 41.26041357291357
2.9999999999999964, 41.088339025839026
3.999999999999993, 40.97362266112266
5, 40.916264478764475
6, 40.772869022869024
6.999999999999993, 40.68683174933175
8, 40.57211538461539
9, 40.486078111078115
10, 40.45739901989902
10.999999999999993, 40.31400356400356
11.999999999999993, 40.22796629046629
12.999999999999993, 40.14192901692902
14, 40.170608108108105
15, 39.99853356103356
15.999999999999993, 39.94117537867538
16.999999999999993, 39.883817196317196
17.999999999999993, 39.82645901395901
19, 39.71174264924265
20, 39.59702628452629
21, 39.5396681021681
21.999999999999993, 39.45363082863083
22.999999999999993, 39.367593555093556
23.999999999999993, 39.25287719037719
25, 39.16683991683992
26, 39.16683991683992
26.999999999999993, 39.08080264330265
27.999999999999993, 39.052123552123554
28.999999999999993, 38.966086278586275
29.999999999999993, 38.966086278586275
31, 38.85136991386992
31.999999999999993, 38.79401173151173
32.99999999999999, 38.679295366795365
33.99999999999999, 38.70797445797446
34.99999999999999, 38.621937184437186
36, 38.621937184437186
37, 38.621937184437186
37.999999999999986, 38.535899910899914
39, 38.50722081972082
40, 38.449862637362635
41, 38.47854172854173
42, 38.449862637362635
42.999999999999986, 38.392504455004456
44, 38.306467181467184
45, 38.27778809028809
45.999999999999986, 38.19175081675082
47, 38.163071725571726
47.999999999999986, 38.163071725571726
49, 38.04835536085536
49.999999999999986, 38.01967626967627
50.999999999999986, 37.99099717849718
52, 37.99099717849718
52.999999999999986, 37.96231808731809
54, 37.99099717849718
54.999999999999986, 37.96231808731809
55.999999999999986, 37.933638996138995
57, 37.84760172260172
57.999999999999986, 37.81892263142263
59, 37.76156444906445
59.999999999999986, 37.73288535788536
61, 37.704206266706265
62, 37.50345262845263
62.999999999999986, 37.474773537273535
64, 37.56081081081081
64.99999999999999, 37.56081081081081
66, 37.474773537273535
67, 37.44609444609445
67.99999999999999, 37.417415354915356
69, 37.417415354915356
69.99999999999999, 37.474773537273535
71, 37.44609444609445
71.99999999999999, 37.53213171963172
72.99999999999999, 37.417415354915356
74, 37.36005717255717
74.99999999999999, 37.36005717255717
76, 37.417415354915356
76.99999999999999, 37.417415354915356
77.99999999999999, 37.331378081378084
79, 37.245340807840805
79.99999999999999, 37.13062444312445
81, 37.187982625482626
81.99999999999999, 37.245340807840805
82.99999999999999, 37.10194535194535
84, 37.187982625482626
84.99999999999999, 37.15930353430353
86, 37.187982625482626
86.99999999999999, 37.13062444312445
87.99999999999999, 37.21666171666172
88.99999999999999, 37.187982625482626
89.99999999999999, 37.21666171666172
91, 37.331378081378084
91.99999999999999, 37.331378081378084
93, 37.331378081378084
93.99999999999999, 37.36005717255717
94.99999999999999, 37.417415354915356
96, 37.474773537273535
96.99999999999999, 37.56081081081081
98, 37.67552717552718
98.99999999999999, 37.9049599049599
99.99999999999997, 38.13439263439263
