SOC,OCV
0, 2.5304559101581168
1.0000000000000142, 2.721056951110557
2.000000000000014, 2.8581559454798557
3, 2.935065137443121
4, 3.011974329406387
5.000000000000014, 3.062132498078082
6.000000000000014, 3.115634544661223
7.000000000000014, 3.1490733237756863
8, 3.1858559808015956
9, 3.2059192482702734
10.000000000000014, 3.2326702715618443
11.000000000000014, 3.2527335390305225
12.000000000000014, 3.2727968064992004
13, 3.292860073967878
14, 3.3062355856136634
15.000000000000014, 3.326298853082341
16.000000000000014, 3.3396743647281264
17.000000000000014, 3.3530498763739116
18, 3.366425388019697
19, 3.3798008996654825
20, 3.386488655488375
21.000000000000014, 3.3998641671341603
22.000000000000014, 3.4065519229570533
23, 3.4199274346028385
24, 3.429959068337177
25, 3.4366468241600696
26.000000000000014, 3.446678457894409
27.000000000000014, 3.4533662137173016
28, 3.460053969540194
29, 3.466741725363087
30, 3.4734294811859794
31.000000000000014, 3.480117237008872
32, 3.4868049928317646
33, 3.493492748654657
34.000000000000014, 3.50018050447755
35, 3.5068682603004424
36.000000000000014, 3.513556016123335
37, 3.5202437719462276
38, 3.5269315277691202
39.000000000000014, 3.5336192835920133
40, 3.5369631615034596
41.000000000000014, 3.546994795237798
42, 3.550338673149245
43, 3.5570264289721374
44.000000000000014, 3.5670580627064763
45, 3.5704019406179226
46, 3.577089696440815
47, 3.583777452263708
48, 3.593809085998047
49.000000000000014, 3.6004968418209398
50, 3.6071845976438324
51, 3.613872353466725
52, 3.6205601092896176
53, 3.630591743023956
54.000000000000014, 3.6406233767582954
55, 3.647311132581188
56, 3.6539988884040806
57.00000000000001, 3.667374400049866
58, 3.6740621558727584
59.00000000000001, 3.6840937896070978
60, 3.6941254233414367
61.00000000000001, 3.7041570570757756
62.00000000000001, 3.714188690810114
63, 3.720876446633007
64, 3.730908080367346
65, 3.7409397141016854
66, 3.7543152257474706
67, 3.761002981570363
68, 3.771034615304702
69, 3.781066249039041
70, 3.7877540048619336
71, 3.794441760684826
72, 3.8078172723306114
73, 3.814505028153504
74, 3.8245366618878434
75, 3.834568295622182
76, 3.841256051445075
77, 3.85463156309086
78, 3.8613193189137527
79, 3.8713509526480916
80, 3.8813825863824305
81, 3.894758098028216
82, 3.9014458538511088
83, 3.914821365496894
84, 3.928196877142679
85, 3.9415723887884644
86, 3.948260144611357
87, 3.961635656257142
88, 3.9750111679029274
89, 3.9883866795487126
90, 4.001762191194498
91, 4.00844994701739
92, 4.0218254586631765
93, 4.028513214486069
94, 4.041888726131854
95, 4.048576481954747
96, 4.061951993600532
97, 4.068639749423425
98, 4.08201526106921
99, 4.102078528537888
100, 4.158924453032475
