SOC,R
1, 37.331378081378084
1.9999999999999964, 37.21666171666172
2.9999999999999964, 37.15930353430353
3.999999999999993, 37.04458716958717
5, 37.015908078408074
6, 36.9298708048708
6.999999999999993, 36.815154440154444
8, 36.78647534897535
9, 36.729117166617165
10, 36.64307989307989
10.999999999999993, 36.64307989307989
11.999999999999993, 36.6144008019008
12.999999999999993, 36.55704261954262
14, 36.52836352836353
15, 36.47100534600534
15.999999999999993, 36.41364716364716
16.999999999999993, 36.38496807246807
17.999999999999993, 36.2989307989308
19, 36.24157261657262
20, 36.18421443421443
21, 36.09817716067716
21.999999999999993, 35.89742352242352
22.999999999999993, 35.89742352242352
23.999999999999993, 35.84006534006534
25, 35.78270715770716
26, 35.696669884169886
26.999999999999993, 35.6393117018117
27.999999999999993, 35.61063261063261
28.999999999999993, 35.58195351945352
29.999999999999993, 35.55327442827443
31, 35.49591624591625
31.999999999999993, 35.43855806355806
32.99999999999999, 35.38119988119988
33.99999999999999, 35.35252079002079
34.99999999999999, 35.295162607662604
36, 35.237804425304425
37, 35.20912533412533
37.999999999999986, 35.20912533412533
39, 35.12308806058806
40, 35.065729878229874
41, 34.9796926046926
42, 34.9796926046926
42.999999999999986, 34.92233442233442
44, 34.83629714879715
45, 34.80761805761806
45.999999999999986, 34.778938966438965
47, 34.75025987525987
47.999999999999986, 34.721580784080786
49, 34.63554351054351
49.999999999999986, 34.6642226017226
50.999999999999986, 34.57818532818533
52, 34.57818532818533
52.999999999999986, 34.492148054648055
54, 34.46346896346896
54.999999999999986, 34.40611078111078
55.999999999999986, 34.3487525987526
57, 34.3487525987526
57.999999999999986, 34.29139441639442
59, 34.29139441639442
59.999999999999986, 34.29139441639442
61, 34.23403623403623
62, 34.20535714285714
62.999999999999986, 34.20535714285714
64, 34.14799896049896
64.99999999999999, 34.11931986931987
66, 34.09064077814078
67, 34.06196168696169
67.99999999999999, 34.00460350460351
69, 33.975924413424416
69.99999999999999, 33.94724532224532
71, 33.94724532224532
71.99999999999999, 33.91856623106623
72.99999999999999, 33.889887139887136
74, 33.83252895752896
74.99999999999999, 33.83252895752896
76, 33.803849866349864
76.99999999999999, 33.83252895752896
77.99999999999999, 33.803849866349864
79, 33.83252895752896
79.99999999999999, 33.77517077517078
81, 33.746491683991685
81.99999999999999, 33.71781259281259
82.99999999999999, 33.746491683991685
84, 33.71781259281259
84.99999999999999, 33.746491683991685
86, 33.71781259281259
86.99999999999999, 33.77517077517078
88.99999999999999, 33.71781259281259
89.99999999999999, 33.71781259281259
91, 33.71781259281259
91.99999999999999, 33.746491683991685
93, 33.77517077517078
93.99999999999999, 33.83252895752896
94.99999999999999, 33.889887139887136
96, 33.91856623106623
96.99999999999999, 34.00460350460351
98, 34.11931986931987
98.99999999999999, 34.262715325215325
99.99999999999997, 34.37743168993169
